Iteration,Time taken without RTS,Number of Changed Files,Percentage of Selected Tests,Time taken with RTS,Saved Time,Ratio (with/without RTS)
1,34.633697209,2, 0,1.3004395829999993,33.333257626,0.03754839037693221
2,31.628105208999997,1, 0,1.1992548329999977,30.428850376,0.037917378390999575
3,31.459006124999988,1, 0,1.188062833999993,30.270943290999995,0.0377654281028242
4,31.58825625,1, 0,1.1409986250000088,30.44725762499999,0.0361209753387387
5,30.626840375,1, 0,1.2008452919999968,29.425995083000004,0.03920891862486147
6,30.708563207999987,1, 0,1.1302385420000007,29.578324665999986,0.036805321510631886
7,31.116632875000022,2, 0,1.276967333000016,29.839665542000006,0.04103809490344849
8,30.37873670900001,1, 0,1.159299290999968,29.21943741800004,0.038161537199685916
9,30.055152540999984,1, 0,1.2387612500000387,28.816391290999945,0.041216268934591904
10,32.47990066699998,2, 0,1.2122610829999871,31.267639583999994,0.0373234233512192
11,35.234172666000006,2, 0,1.572365832999992,33.661806833000014,0.04462616017424701
